title,instructor,organization,assignments,overall rating,challenge,workload,requirement,expected grade,expected grade P/F,response count
14121 - SPAN 141 - FIRST YEAR SPANISH I - Fall 2017,"Diaz Montalvo, Thais M.",2.5,2.25,2.42,2,2.75,2.25,1.36,1,12
17229 - SPAN 142 - FIRST YEAR SPANISH II - Fall 2017,"Boggiano, Aymara",2,1.57,1.71,1.57,2.43,2.71,1.17,1,7
17229 - SPAN 142 - FIRST YEAR SPANISH II - Fall 2017,"Boggiano, Aymara",2,1.57,1.71,1.57,2.43,2.71,1.17,1,7
17229 - SPAN 142 - FIRST YEAR SPANISH II - Fall 2017,"Boggiano, Aymara",2,1.57,1.71,1.57,2.43,2.71,1.17,1,7
10593 - SPAN 204 - INT SPAN BICULTURAL STUDENTS - Fall 2016,"Arbizu-Sabater, Victoria",1.75,1.13,1.25,1,3.13,2.13,1.13,1,8
12758 - SPAN 263 - SECOND YEAR SPANISH I - Fall 2017,"Bennaji, Charla J.",1.5,1.63,1.5,1.5,2.38,2.5,1,0,8
12758 - SPAN 263 - SECOND YEAR SPANISH I - Fall 2017,"Bennaji, Charla J.",1.5,1.63,1.5,1.5,2.38,2.5,1,0,8
12758 - SPAN 263 - SECOND YEAR SPANISH I - Fall 2017,"Bennaji, Charla J.",1.5,1.63,1.5,1.5,2.38,2.5,1,0,8
12762 - SPAN 264 - SECOND YEAR SPANISH II - Fall 2017,"Abad Rabat, Maria Victoria",1.81,1.81,1.81,1.81,2.44,2.13,1.14,1,16
12762 - SPAN 264 - SECOND YEAR SPANISH II - Fall 2017,"Abad Rabat, Maria Victoria",1.81,1.81,1.81,1.81,2.44,2.13,1.14,1,16
12765 - SPAN 321 - SPAN FOR INTERCULTURAL COMM I - Fall 2017,"Stasevicius, Maria L.",1.53,1.53,1.35,1.59,2.24,2.35,1.18,1.67,17
12765 - SPAN 321 - SPAN FOR INTERCULTURAL COMM I - Fall 2017,"Stasevicius, Maria L.",1.53,1.53,1.35,1.59,2.24,2.35,1.18,1.67,17
12765 - SPAN 321 - SPAN FOR INTERCULTURAL COMM I - Fall 2017,"Stasevicius, Maria L.",1.53,1.53,1.35,1.59,2.24,2.35,1.18,1.67,17
12771 - SPAN 322 - SPAN FOR INTERCULTURAL COMM II - Fall 2016,"Turi, Luziris P.",1.75,2,1.75,1.88,2.56,2.69,1,0,16
12771 - SPAN 322 - SPAN FOR INTERCULTURAL COMM II - Fall 2016,"Turi, Luziris P.",1.75,2,1.75,1.88,2.56,2.69,1,0,16
23715 - SPAN 323 - INTERCULTURAL COM INTERNSHIP - Spring 2015,"Turi, Luziris P.",2.25,2,1.88,2,2.5,3.63,1,0,8
15716 - SPPO 158 - INTRO LATIN AMERICAN STUDIES - Fall 2017,"Gutierrez, Manuel",2.64,2.29,2,1.57,2.86,2.07,1.27,1,14
15679 - SPPO 410 - THE CITY IN LATIN AMERICA - Fall 2016,"Heffes, Gisela",2.4,2.4,2.6,1.6,4.6,2.2,1.2,0,5
16310 - SPPO 422 - LATIN AMERICAN CINEMA - Fall 2017,"Duno-Gottberg, Luis",1.62,1.85,1.38,1.77,1.77,2.92,1.15,0,13
10532 - SWGS 101 - INTRO WOMEN &amp; GENDER - Fall 2017,"Shehabuddin, Rahnuma",1.78,2,1.78,1.83,2.94,2.22,1.18,0,18
10532 - SWGS 101 - INTRO WOMEN &amp; GENDER - Fall 2017,"Shehabuddin, Rahnuma",1.78,2,1.78,1.83,2.94,2.22,1.18,0,18
15703 - SWGS 111 - INTRO TO FEMINIST PHILOSOPHY - Fall 2017,"Yao, Vida",1.26,1.37,1.26,1.32,2.79,2.89,1.42,0,19
15082 - THEA 300 - INTRODUCTION TO THEATRE DESIGN - Fall 2016,"Krouskop, Mark A.",1.55,1.18,1.36,1.64,2.27,2.55,1,1,11
14266 - THEA 315 - INTRO TO THEATRE HISTORY - Fall 2017,"Swackhamer, Leslie A.",2.09,2.09,2.2,2.36,2.64,2.27,1.18,0,11
10545 - THEA 331 - THEATRE PRODUCTION - Fall 2017,"Krouskop, Mark A.; Breikjern, Heather R.",1.11,1.11,1,1.44,2.44,2.89,1,0,9
10545 - THEA 331 - THEATRE PRODUCTION - Fall 2017,"Krouskop, Mark A.; Breikjern, Heather R.",1.11,1.11,1,1.44,2.44,2.89,1,0,9
